Line	MessageNo	File Name
0	1	mikroCPIC1618.exe -MSF -DBG -pP18F4520 -DL -O11111114 -fo8 -N"C:\Users\lipez\OneDrive\Documentos\AcionamentoSimples_interface_Microcontrolador\acionamento_simples.mcppi" -SP"C:\Program Files (x86)\Mikroelektronika\mikroC PRO for PIC\defs\" -SP"C:\Program Files (x86)\Mikroelektronika\mikroC PRO for PIC\uses\P18\" -SP"C:\Users\lipez\OneDrive\Documentos\AcionamentoSimples_interface_Microcontrolador\" "acionamento_simples.c" "__Lib_Math.mcl" "__Lib_MathDouble.mcl" "__Lib_System.mcl" "__Lib_Delays.mcl" "__Lib_UART_c67.mcl"	 
hint: 0	1138	Available RAM: 1515 [bytes], Available ROM: 32768 [bytes]	 
diagnostics: 0	126	All files Preprocessed in 78 ms	 
diagnostics: 0	122	Compilation Started	acionamento_simples.c
warning: 9	1509	Generated baud rate is 9615 bps (error = 0.16 percent)	acionamento_simples.c
warning: 15	1508	Implicit conversion of int to ptr	acionamento_simples.c
diagnostics: 32	123	Compiled Successfully	acionamento_simples.c
diagnostics: 0	127	All files Compiled in 109 ms	 
hint: 0	1143	Used RAM (bytes): 30 (2%)  Free RAM (bytes): 1485 (98%)	Used RAM (bytes): 30 (2%)  Free RAM (bytes): 1485 (98%)
hint: 0	1143	Used ROM (bytes): 382 (1%)  Free ROM (bytes): 32386 (99%)	Used ROM (bytes): 382 (1%)  Free ROM (bytes): 32386 (99%)
diagnostics: 0	125	Project Linked Successfully	acionamento_simples.mcppi
diagnostics: 0	128	Linked in 610 ms	 
diagnostics: 0	129	Project 'acionamento_simples.mcppi' completed: 1188 ms	 
diagnostics: 0	103	Finished successfully: 12 abr 2024, 09:35:35	acionamento_simples.mcppi
